product,brand,segment,display,status,public_price,relation_to_qwen,notes
"小米 AI 眼镜","小米","直接竞品","无显示","在售","1999-2999元","G1 直接竞品","国内直接对位产品"
"雷鸟 V3","雷鸟/RayNeo","直接竞品","无显示","在售","1799元起","G1 直接竞品","主打性价比"
"小度 AI 眼镜 Pro","百度/小度","直接竞品","无显示","已发布/在售口径","2299元左右","G1 直接竞品","百度生态路线"
"Meta Ray-Ban AI Glasses","Meta + Ray-Ban","直接竞品","无显示","在售","299美元起","G1 国际直接竞品","国际标杆"
"Solos AirGo V2","Solos","直接竞品","无显示","在售","299美元","G1 国际相邻竞品","多 AI 模型支持"
"Mentra Live","Mentra","直接竞品","无显示","在售","299-349美元","G1 国际相邻竞品","开放生态路线"
"Pulse Smart Glasses","Aurai Corp","直接竞品","无显示","在售","169美元","G1 入门级相邻竞品","价格低"
"华为 AI 眼镜","华为","直接竞品/潜在竞品","无显示或轻显示方向","已官宣/待售","待确认","G1/S1 潜在强竞品","HarmonyOS 生态"
"Rokid Glasses","Rokid/乐奇","显示型相邻竞品","带显示","在售","2499元 / 599美元","S1 强相关竞品","AI + 显示路线"
"科大讯飞 AI 眼镜","科大讯飞","显示型相邻竞品","带显示","已官宣/待售","待确认","S1 强相关竞品","翻译能力强"
"魅族 StarV Air2","魅族/星纪魅族","显示型相邻竞品","带显示","在售","3500元左右","S1 相邻竞品","显示型路线"
"INMO Air 3","INMO","显示型相邻竞品","带显示","在售","899-1099美元","S1 强相关高配竞品","价格更高"
"INMO GO3","INMO","显示型相邻竞品","带显示","2026 发布/众筹","待确认","S1 强相关新晋竞品","值得跟踪"
"Even Realities G2","Even Realities","显示型相邻竞品","轻显示","在售","599美元","S1 相邻竞品","轻量/隐私路线"
"XREAL One / Air 2 Ultra / Project Aura","XREAL","显示型相邻竞品","带显示","在售/预告","449-699美元","S1 相邻竞品","更偏显示与空间计算"
"VITURE Luma Pro / Ultra","VITURE","显示型相邻竞品","带显示","在售","399-599美元","S1 相邻竞品","高显示规格"
"RayNeo Air 3s / Air 4 Pro / X3 Pro","雷鸟/RayNeo","显示型相邻竞品","带显示","在售","249-1099美元","S1 相邻竞品","覆盖低中高价位"
"HTC VIVE Eagle","HTC","显示型相邻竞品","AI 眼镜","亚洲在售","512美元左右","S1 相邻竞品","开放平台路线"
"XGIMI MemoMind / Memo One","极米/XGIMI","显示型相邻竞品","带显示","2026 预告/预售","599美元左右","S1 相邻竞品","多模型路线"
"Halliday","Halliday","显示型相邻竞品","轻显示","在售/公开销售","待确认","S1 相邻竞品","轻量显示新路线"
"Google Android XR 合作眼镜","Google + Partners","未来竞品","待确认","2026 官宣","待确认","未来平台级竞品","Android XR + Gemini"
"Snap Specs","Snap","未来竞品","带显示","2026 官宣","待确认","未来平台级竞品","消费者版本待发"
"Samsung Galaxy Glasses / Haean","Samsung","未来竞品","带显示或轻显示","2026 预期","待确认","未来平台级竞品","Galaxy 生态"
"Apple 智能眼镜","Apple","未来竞品","待确认","2027 开发中","待确认","中长期潜在竞品","苹果生态"
"字节 豆包 AI 眼镜","字节跳动","未来竞品","无显示优先","延期/暂停","<2000元(计划口径)","未来潜在竞品","当前非现售"
"vivo AI 眼镜项目","vivo","项目参考","待确认","项目终止/取消口径","-","非现售竞品","仅作市场参考"
