category,item,千问 G1,千问 S1,Meta Ray-Ban AI Glasses,小米 AI 眼镜,雷鸟 V3,华为 AI 眼镜,Rokid Glasses,科大讯飞 AI 眼镜
价格,官方公开价,2899元起,待确认,299美元起,1999-2999元,1799元起,待确认,2499元 / 599美元,待确认
价格,补贴后/入门价,1997元起,3499元起,299美元起,1999元起,补贴后更低(媒体线索),待确认,2499元起,待确认
价格,价格可信度,A,B,B,B,B,C,B,C
产品定位,无显示,是,,是,是,是,是,,
产品定位,带显示,,是,,,,,是,
产品定位,双目显示,,是,,,,,是,
功能,AI 大模型助手,是,是,是,是,是,,是,是
功能,语音交互,是,是,是,是,是,,是,是
功能,视觉/多模态交互,是,是,,,,,是,
功能,可视化 AI 回答,,是,,,,,是,
功能,AI 翻译,是,是,,是,是,是,是,是
功能,会议记录/纪要,是,是,,,,,是,是
功能,识图识物,是,,,,,,是,
功能,AI 拍照答题,,,,,,,是,
功能,AI 快速回复,,,,,,,是,
功能,AI 实时导航,,是,,,,,是,
功能,导航提示,,是,,,,,,
功能,AI 转译,,,,,,,是,
功能,AI 闪记,,,,,,,是,
功能,声纹安全支付,,,,,,,是,
功能,App 办事能力(外卖/酒店/打车等),是,,,,,,,
功能,社交分享,,,是,,,,,
功能,音频播放/耳机能力,是,是,是,,,,是,
功能,通话能力,是,是,是,,,,是,
功能,提词,,是,,,,,是,
影像,高清拍摄,是,是,是,是,是,,是,
影像,0.6秒抓拍,是,,,,,,,
影像,3K 视频,是,是,,,,,,
影像,AI 增强 4K,是,,,,,,,
影像,Super RAW/暗光增强/超级夜景,是,是,,,,,,
影像,1200万像素摄像头,,是,,,,,,
硬件,64GB 本地存储,是,,,,,,,
硬件,双芯架构,是,是,,,,,,
硬件,双电池设计,,是,,,,,,
硬件,5 麦克风阵列 + 骨传导 + 双音圈扬声器,是,是,,,,,,
硬件,峰值亮度 4000nit,,是,,,,,,
硬件,显示位置可调,,是,,,,,,
佩戴,约 40g 级轻量,是,,,,是,是,,是
佩戴,49g 级轻量,,,,,,,是,
续航,热插拔换电,是,是,,,,,,
配件,MiniBag 换电仓,是,是,,,,,,
配件,备用电池/镜腿电池,是,是,,,,,,
配件,标准套装,是,是,,,,,,
配件,超级续航套装,,是,,,,,,
配件,充电盒/眼镜盒,,,是,,,,是,
配件,蔡司防蓝光镜片,是,,,,,,,
配件,太阳镜片,是,,,,,,,
配件,智能变色镜片,是,,,,,,,
配件,多彩镜片,是,,,,,,,
配件,镜片定制,是,是,是,是,是,,是,
配件,近视/散光镜片定制,,,,,,,是,
配件价格,镜腿电池价值,99元,,,,,,,
配件价格,MiniBag 换电仓单卖价,待确认,待确认,,,,,,,
配件价格,备用电池单卖价,待确认,待确认,,,,,,,
配件价格,镜片价格,待确认,待确认,渠道普遍有价,区间口径较多,有渠道口径,待确认,定制存在,待确认
配件价格,充电盒价格,,,渠道普遍有价,,,,官网未写价格,
备注,主要对位产品,G1 对位小米/雷鸟,S1 对位 Rokid/华为,,G1 直接竞品,G1 直接竞品,S1 潜在竞品,S1 更接近,翻译场景竞品
