id,question_type,question,answer,answer_text,answer_skill,chapter_id,topic,subtopic,stale_risk,tags,options
201904101025192asdcqevyphgpzrvkk8wrd,true_false,如图所示，红圈中标记车辆使用灯光的方法是正确的。,B,错误,看图答题，红圈内车辆对比前方蓝车，会车时错误使用了远光灯。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102519yrnimy89cdwhwp5ta1zq6e,true_false,机动车在抵押登记、质押备案期间不可以办理转让登记。,B,错误,根据新规，机动车在抵押登记、质押备案期间可以办理转移登记。,2,law,vehicle-registration,medium,chapter:2;登记,正确 | 错误
201904101025198abgdewmbcnnnshjacrsme,true_false,在这段路的最高时速为每小时50公里。,B,错误,看图答题，问最高时速就看红圈白底里的数字，里面的数字是80，表示限制最高车速为80公里/小时。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102519fyyjereevmqxsrhvpz8fjg,true_false,小型手动挡汽车科目二考试内容包括倒车入库、坡道定点停车和起步、侧方停车、曲线行驶、直角转弯。,A,正确,小型手动挡汽车科二考试五大项：倒车入库、坡道定点停车和起步、侧方停车、曲线行驶、直角转弯。,2,safe-driving,road-rules,low,chapter:2;安全行车,正确 | 错误
20190410102519xg5ammpnurzawupbbc438s,true_false,遇前方路段车道减少行驶缓慢，为了有序、安全，应依次交替通行。,A,正确,遇拥堵情况，应每车道一辆车依次交替通行。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102519axaknvfjwaxddh4qs3dht3,true_false,如图所示，驾驶机动车遇到这种情况，可以轻按喇叭提醒前方非机动车和行人后方有来车。,A,正确,图中是无中心线的道路，道路狭窄，安全起见，可轻按喇叭提醒前方非机动车和行人后方有来车。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102519yu8rirpvcrornukbfetcs,true_false,驾驶人持超过有效期的驾驶证可以在1年内驾驶机动车。,B,错误,驾驶证超过有效期就不能开车了。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
20190410102519cmq3ycnqrcacutqhrbmksy,true_false,遇到这种情形时要停车避让行人。,A,正确,任何情况下都要礼让行人。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
201904101025196wvnx7byg2gyi2wbxkxejk,true_false,驾驶人在发生交通事故后因抢救伤员变动现场时要标明位置。,A,正确,在道路上发生交通事故，抢救伤员变动现场要标明位置，方便定责。,14,unknown,unknown,low,chapter:14,正确 | 错误
20190410102519nect8okqbnf7o2nyts6b61,true_false,驾驶人在实习期内驾驶机动车上高速公路行驶，应由持相应或者更高准驾车型驾驶证一年以上的驾驶人陪同。,B,错误,实习期上高速公路行驶，要有3年以上驾龄的老司机陪同，否则罚款200元。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
20190410102519nvcxkevsj6mmgabdfnu5sm,true_false,对发生道路交通事故需要收集证据的事故车，交通警察可以依法扣留。,A,正确,扣留发生交通事故的事故车是为了收集证据，更好地解决事故问题需要，驾驶人要积极配合。,15,law,points,low,chapter:15;扣分,正确 | 错误
20190410102519l2jtbhekpkupwf5fuztxmq,true_false,如图所示，驾驶机动车直行遇前方道路堵塞时，车辆可以在黄色网格线区域临时停车等待，但不得在人行横道停车。,B,错误,黄色网格线区域禁止停车。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
201904101025202husd4t998uxfqcxdhwtkc,true_false,如图所示，红圈标注的深色车辆的做法是违法的。,A,正确,图中红圈内车辆压实线，且不打转向灯强行变道，属于违法行为。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102520nw1jue6l2aouzxqzyrcinr,true_false,机动车驾驶人在实习期内驾驶机动车不得牵引挂车。,A,正确,实习期驾驶员技术还不够成熟，不得牵引挂车。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
201904101025208dhskshjmcsjxhrsrw38gk,true_false,驾驶机动车上坡时，在将要到达坡道顶端时要加速并鸣喇叭。,B,错误,驶近坡道顶端，应减速鸣喇叭示意，谨慎驾驶。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102520bt1jtrputfykr4kebthp5j,true_false,驾驶机动车通过交叉路口要遵守交通信号。,A,正确,遵纪守法文明行车，遵守信号灯也是一种文明表现。,1,traffic-signals,signals-signs-markings,low,chapter:1;交通信号,正确 | 错误
